epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3065.13,0.59696,0.36576,0.89593,0.99552,0.98911,0.99409,0.90534,0.59669,0.32294,0.84436,0.00585816,0.00585816,0.00585816
43,3115.49,0.59956,0.36619,0.89746,0.99571,0.99053,0.99403,0.90527,0.5758,0.31847,0.83247,0.0058,0.0058,0.0058
44,3165.13,0.59736,0.3638,0.89518,0.99163,0.9894,0.99381,0.91078,0.57685,0.3165,0.8313,0.005743,0.005743,0.005743
45,3215.02,0.59738,0.36497,0.89601,0.99723,0.99025,0.99425,0.91603,0.57415,0.31366,0.82859,0.00568713,0.00568713,0.00568713
46,3264.98,0.59304,0.36049,0.89468,0.99567,0.98986,0.9939,0.91539,0.56871,0.31412,0.83086,0.00558911,0.00558911,0.00558911
47,3315.5,0.58072,0.35536,0.89353,0.99596,0.99204,0.9945,0.91255,0.56878,0.31529,0.83459,0.00553529,0.00553529,0.00553529
48,3365.23,0.57891,0.35286,0.88977,0.99679,0.99155,0.99426,0.91839,0.55831,0.30376,0.82863,0.00548252,0.00548252,0.00548252
49,3414.84,0.57501,0.35003,0.8898,0.99622,0.99221,0.99469,0.91609,0.56295,0.30693,0.82607,0.00538641,0.00538641,0.00538641
50,3465,0.56943,0.3462,0.89119,0.99751,0.98705,0.99448,0.91628,0.56146,0.30321,0.82166,0.00533558,0.00533558,0.00533558
51,3516.62,0.57493,0.34516,0.88735,0.99425,0.99149,0.9942,0.91726,0.55004,0.30259,0.82351,0.00524038,0.00524038,0.00524038
52,3567.13,0.55628,0.34191,0.88696,0.99474,0.9915,0.99473,0.92172,0.54672,0.29589,0.81752,0.00519143,0.00519143,0.00519143
53,3616.41,0.56477,0.34243,0.88619,0.99479,0.99207,0.99417,0.92356,0.53978,0.29484,0.81635,0.00509714,0.00509714,0.00509714
54,3665.52,0.55937,0.33901,0.88324,0.99551,0.98993,0.99466,0.92271,0.53186,0.29491,0.81582,0.00505,0.00505,0.00505
55,3714.13,0.5567,0.33603,0.88643,0.99428,0.99297,0.99464,0.92281,0.53399,0.29266,0.81951,0.00500374,0.00500374,0.00500374
56,3763.33,0.55963,0.337,0.88487,0.99663,0.99149,0.99473,0.92486,0.53574,0.29382,0.81905,0.00491121,0.00491121,0.00491121
57,3813.05,0.54907,0.33325,0.88044,0.99643,0.99067,0.9948,0.92411,0.53011,0.2916,0.81824,0.00486667,0.00486667,0.00486667
58,3861.75,0.54704,0.33153,0.88187,0.99632,0.9929,0.99488,0.91815,0.53239,0.28804,0.81993,0.004775,0.004775,0.004775
59,3910.33,0.55463,0.33244,0.88265,0.99695,0.99139,0.99484,0.92727,0.52837,0.28703,0.81741,0.00473211,0.00473211,0.00473211
60,3960.04,0.54262,0.32798,0.88091,0.99584,0.99441,0.99476,0.92659,0.52867,0.2864,0.81752,0.00464128,0.00464128,0.00464128
61,4009.84,0.5425,0.32699,0.8786,0.99606,0.99387,0.99476,0.92878,0.5295,0.28775,0.81761,0.0046,0.0046,0.0046
62,4059.76,0.54096,0.32593,0.87797,0.99669,0.9936,0.99483,0.92766,0.52832,0.28626,0.81819,0.00451,0.00451,0.00451
63,4107.93,0.53153,0.32272,0.8796,0.99513,0.99376,0.99458,0.92195,0.52583,0.28369,0.81797,0.00442,0.00442,0.00442
64,4158.44,0.54054,0.32691,0.87733,0.99745,0.99358,0.99484,0.9291,0.51645,0.27871,0.81106,0.00438108,0.00438108,0.00438108
65,4208.4,0.5379,0.32546,0.87658,0.99612,0.99415,0.99479,0.92917,0.51217,0.27925,0.81143,0.00429189,0.00429189,0.00429189
66,4258.7,0.53304,0.3219,0.87568,0.99643,0.99382,0.99428,0.92859,0.51311,0.27941,0.80776,0.00425446,0.00425446,0.00425446
67,4309.14,0.5231,0.31726,0.87442,0.9958,0.99363,0.9948,0.93155,0.50888,0.27758,0.8083,0.00416607,0.00416607,0.00416607
68,4359.19,0.5257,0.31688,0.87539,0.99815,0.99267,0.9949,0.93003,0.50523,0.274,0.80875,0.00407768,0.00407768,0.00407768
69,4409.06,0.52245,0.31411,0.87642,0.99595,0.99426,0.9949,0.9332,0.50153,0.27241,0.80679,0.00404248,0.00404248,0.00404248
70,4458.51,0.51672,0.31006,0.87223,0.99669,0.99331,0.99491,0.93407,0.50133,0.27081,0.80631,0.00395487,0.00395487,0.00395487
71,4508.6,0.52112,0.31373,0.87454,0.99609,0.99344,0.99489,0.93293,0.50227,0.26987,0.80402,0.00392105,0.00392105,0.00392105
